"","ID","TDU","REP","PRODUCT","KWH500","KWH1000","KWH2000","RATE_TYPE","RENEWABLE","TERM_LENGTH","PREPAID","TOU","PROMOTION","FACTS_URL"
"573","11948","服装鞋帽","国际","Monthly Freedom Plan",13.4,11.9,11.1,"否",14,0,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=VFNRXXX0105_SPA_20180323.PDF"
"574","11850","服装鞋帽","国际","Live Brighter 24",14.2,12.7,11.9,"是",10,24,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDNRXXX1742_SPA_20180606.PDF"
"575","11913","服装鞋帽","重货","Sure Saver 6",13.1,6.1,8.6,"是",12,6,"老客户","否","散客","https://www.sparkenergy.com/api/enrollment-product-document/21329/EFL/ptc-all/WTU/Electric/79506"
"576","11844","服装鞋帽","国际","Live Brighter 12",13.2,11.7,10.9,"是",14,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDNRXXX1837_SPA_20180807.PDF"
"577","11838","服装鞋帽","国际","Bright Choice",14,12.5,11.7,"否",14,1,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=VDNRXXX0229_SPA_20180501.PDF"
"578","11833","服装鞋帽","国际","Free Power Weekends 24",14.4,13.1,12.5,"是",14,24,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDNRXXT0553_SPA_20180606.PDF"
"579","11827","服装鞋帽","国际","Free Power Weekends 12",13.1,11.9,11.3,"是",14,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDNRXXT0580_SPA_20180807.PDF"
"580","11723","服装鞋帽","同城配","NEW PRODUCT",11.5,10.5,10,"是",6,6,"老客户","否","散客","https://www.mythinkenergy.com/signup/includes/eflptc.php?utility=AEPWTU&term=6&ZipCode=75153&promocode=tx2ss4qd"
"581","11627","服装鞋帽","同城配","TXU Energy Simple Rate 12",16.9,14.9,13.9,"是",6,12,"老客户","否","散客","http://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TNXSIMRTND12AR&lang=es&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTNC"
"582","11634","服装鞋帽","国际","Free Power Weekends 12",13.1,11.9,11.3,"否",14,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDNRXXT0580_ENG_20180807.PDF"
"583","11622","服装鞋帽","同城配","TXU Energy Simple Rate 12",16.9,14.9,13.9,"是",6,12,"老客户","否","散客","http://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TNXSIMRTND12AR&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTNC"
"584","11561","服装鞋帽","特惠","PTC Lean Green Infusion 24",13.6,5.4,10.1,"是",100,24,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180808-143038-PTC Lean Green Infusion 24 (English).pdf"
"585","11562","服装鞋帽","特惠","PTC True Blue Infusion 18",13.6,5.4,10,"是",16,18,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180808-143038-PTC True Blue Infusion 18 (English).pdf"
"586","11558","服装鞋帽","特惠","PTC Green Infusion Flex",13,11.8,11.2,"否",100,1,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180810-123231-PTC Green Infusion Flex (English).pdf"
"587","11543","服装鞋帽","特惠","PTC Infusion Flex",12.7,11.5,10.9,"否",16,1,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180810-123231-PTC Infusion Flex (English).pdf"
"588","11539","服装鞋帽","特惠","PTC True Blue Infusion 24",13.5,5.3,10,"是",16,24,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180808-143038-PTC True Blue Infusion 24 (English).pdf"
"589","11518","服装鞋帽","特惠","PTC Lean Green Infusion 9",11.8,9.6,9.5,"是",100,9,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180810-123231-PTC Lean Green Infusion 9 (English).pdf"
"590","11523","服装鞋帽","特惠","PTC Lean Green Infusion 36",13.1,11.9,11.3,"是",100,36,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180806-145529-PTC Lean Green Infusion 36 (English).pdf"
"591","11377","服装鞋帽","同城配","Eagle 24",11.1,10.6,10.3,"是",6,24,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-24mo-span.pdf"
"592","11516","服装鞋帽","特惠","PTC Lean Green Infusion 6",12,9.8,9.7,"是",100,6,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180810-123231-PTC Lean Green Infusion 6 (English).pdf"
"593","11509","服装鞋帽","特惠","PTC True Blue Infusion 12",13.6,5.4,10,"是",16,12,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180808-143038-PTC True Blue Infusion 12 (English).pdf"
"594","11371","服装鞋帽","同城配","Eagle 24",11.1,10.6,10.3,"是",6,24,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-24mo.pdf"
"595","11504","服装鞋帽","特惠","PTC Lean Green Infusion 3",12.6,10.4,10.3,"是",100,3,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180810-123231-PTC Lean Green Infusion 3 (English).pdf"
"596","11447","服装鞋帽","特惠","PTC True Blue Infusion 3",12.9,10.2,10.3,"是",16,3,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180810-123231-PTC True Blue Infusion 3 (English).pdf"
"597","11469","服装鞋帽","重货","Price Protect 12",14.8,12,11.5,"是",12,12,"老客户","否","散客","https://www.sparkenergy.com/api/enrollment-product-document/21313/EFL/ptc-all/WTU/Electric/79506"
"598","11496","服装鞋帽","特惠","PTC Lean Green Infusion 18",13.6,5.4,10,"是",100,18,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180808-143038-PTC Lean Green Infusion 18 (English).pdf"
"599","11497","服装鞋帽","特惠","PTC Lean Green Infusion 12",13.6,5.4,10,"是",100,12,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180808-143038-PTC Lean Green Infusion 12 (English).pdf"
"600","11436","服装鞋帽","特惠","PTC True Blue Infusion 36",12.6,11.4,10.8,"是",16,36,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180806-145529-PTC True Blue Infusion 36 (English).pdf"
"601","11431","服装鞋帽","特惠","PTC True Blue Infusion 6",12.1,5.9,10.3,"是",16,6,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180810-123231-PTC True Blue Infusion 6 (English).pdf"
"602","11424","服装鞋帽","特惠","PTC True Blue Infusion 9",12.5,5.3,9.2,"是",16,9,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180808-143038-PTC True Blue Infusion 9 (English).pdf"
"603","11385","服装鞋帽","同城配","Green Eagle 24",11.4,10.9,10.6,"是",100,24,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-G-24mo.pdf"
"604","11365","服装鞋帽","同城配","SMART Eagle 24",11.7,11.2,10.9,"是",6,24,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-WBH-24mo-span.pdf"
"605","11358","服装鞋帽","同城配","SMART Energy 24",11.7,11.2,10.9,"是",6,24,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-WBH-24mo.pdf"
"606","11255","服装鞋帽","国际","You Got This 24",13,11.5,10.7,"是",14,24,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FFNRXXX0461_ENG_20180807.PDF"
"607","11249","服装鞋帽","国际","You Got This 12",13,11.5,10.7,"是",14,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FFNRXXX0460_ENG_20180807.PDF"
"608","11224","服装鞋帽","国际","Live Brighter 12",13.2,11.7,10.9,"是",14,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDNRXXX1837_ENG_20180807.PDF"
"609","11137","服装鞋帽","重货","AutoPay E-Plan de Sembrar-Un-Arbol",14,10.9,10.4,"是",16,24,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-24-nongreen-tree-spanish.pdf"
"610","11131","服装鞋帽","重货","Plant-A-Tree AutoPay E-Plan",14,10.9,10.4,"是",16,24,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-24-nongreen-tree.pdf"
"611","11121","服装鞋帽","同城配","TXU Energy Saver's Deal 12",18.6,16.6,11.9,"是",6,12,"老客户","否","散客","https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TNX30SAVDL12AI&lang=es&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTNC"
"612","11116","服装鞋帽","同城配","TXU Energy Saver's Deal 12",18.6,16.6,11.9,"是",6,12,"老客户","否","散客","https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TNX30SAVDL12AI&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTNC"
"613","11039","服装鞋帽","国际","Veteran and Active Military 24",12.5,11,10.2,"是",14,24,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDNRXXX1846_ENG_20180807.PDF"
"614","11033","服装鞋帽","国际","Veteran and Active Military 12",12.6,11.1,10.3,"是",14,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDNRXXX1845_ENG_20180807.PDF"
"615","10831","服装鞋帽","国际","Prime - 12",12.9,6.1,9.3,"是",19,12,"老客户","否","散客","https://signup.discountpowertx.com/EFL.aspx?i=27719"
"616","10773","服装鞋帽","电商","Smart Lock 12",15.8,13.8,12.3,"是",11,12,"老客户","否","散客","https://signup.cirroenergy.com/files/090175188169ea78.pdf"
"617","10774","服装鞋帽","电商","Smart Lock 24",15.4,13.4,11.9,"是",11,24,"老客户","否","散客","https://signup.cirroenergy.com/files/090175188169ea7c.pdf"
"618","10415","服装鞋帽","国际","Saver - NO GIMMICKS - 12",10.8,10.6,10.4,"是",19,12,"老客户","否","散客","https://signup.discountpowertx.com/EFL.aspx?i=27996"
"619","10416","服装鞋帽","国际","Saver - NO GIMMICKS - 18",10.8,10.6,10.4,"是",19,18,"老客户","否","散客","https://signup.discountpowertx.com/EFL.aspx?i=27997"
"620","10417","服装鞋帽","国际","Saver - NO GIMMICKS - 24",10.9,10.7,10.5,"是",19,24,"老客户","否","散客","https://signup.discountpowertx.com/EFL.aspx?i=27998"
"621","10489","服装鞋帽","冷运","Pollution Free Conserve 12 Choice",11.7,9.6,11.6,"是",100,12,"老客户","否","散客","https://signup.greenmountain.com/files/09017518816ed78a.pdf"
"622","10212","服装鞋帽","国际","Green Texas 12",13.4,11.9,11.1,"是",100,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDNRXXX1868_ENG_20180807.PDF"
"623","9758","服装鞋帽","时效","Amazing 18",13.6,12.1,11.3,"是",14,18,"老客户","否","散客","http://www.bounceenergy.com/efls/amazing18-071018.pdf"
"624","9644","服装鞋帽","国际","Texas Refresh 24",16.4,14.9,14.1,"是",100,24,"老客户","否","散客","https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXY5F24A0AQ003_20180709_eng_d43910a7-7ee7-4bae-8338-7e6a19ce0739.pdf"
"625","9639","服装鞋帽","国际","Entrust 24",15.9,14.4,13.6,"是",17,24,"老客户","否","散客","https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN5F24A0AQ003_20180709_eng_b580597c-a3c0-4a89-a2fd-f0368ac4ec1a.pdf"
"626","8915","服装鞋帽","同城配","SMART Eagle 12",12.1,11.6,11.3,"是",6,12,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-WBH-12mo-span.pdf"
"627","8921","服装鞋帽","同城配","SMART Eagle 36",11.3,10.8,10.5,"是",6,36,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-WBH-36mo-span.pdf"
"628","8866","服装鞋帽","同城配","SMART Energy 12",12.1,11.6,11.3,"是",6,12,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-WBH-12mo.pdf"
"629","8868","服装鞋帽","同城配","SMART Energy 36",11.3,10.8,10.5,"是",6,36,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-WBH-36mo.pdf"
"630","8773","服装鞋帽","重货","New Friends 24 Month Plan",15.9,12.6,12.1,"是",19,24,"老客户","否","散客","https://mystream.com/~/media/Files/PDFs_PowerPoints/Enroll/texas/TX_RFRBFF24R/AEP_NORTH_TEXAS.pdf?la=en"
"631","8780","服装鞋帽","重货","New Friends 24 Month Plan",15.9,12.6,12.1,"是",19,24,"老客户","否","散客","https://mystream.com/~/media/Files/PDFs_PowerPoints/Enroll/texas/TX_RFRBFF24R/AEP_NORTH_TEXAS.pdf?la=es"
"632","7573","服装鞋帽","时效","Champ Saver-9",11.2,10.1,9.6,"是",13,9,"老客户","否","散客","https://www.championenergyservices.com/register/efl.aspx?rateID=180&term=9180"
"633","7795","服装鞋帽","电商","DollarSave Pre-Paid ",10.4,10.4,10.4,"否",0,0,"新客户","否","散客","http://hinoelectric.com/pdf/1403901857.pdf"
"634","7015","服装鞋帽","其他","Price Protection Plan 24",13,11.5,10.7,"是",14,24,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FWNRXXX0487_ENG_20180807.PDF"
"635","7016","服装鞋帽","其他","Price Protection Plan 12",13,11.5,10.7,"是",14,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FWNRXXX0486_ENG_20180807.PDF"
"636","6165","服装鞋帽","重货","12 Months Texas Summer Savings Product ",14.5,11.8,11.4,"是",11,12,"老客户","否","散客","https://www.summerenergy.com/PDF/EFL12MPTCSUMRES4M9ALL080918.pdf"
"637","6166","服装鞋帽","重货","9 Months Texas Summer Savings Product",13.4,10.7,10.4,"是",11,9,"老客户","否","散客","https://www.summerenergy.com/PDF/EFL9MPTCSUMRES4M9ALL080918.pdf"
"638","6167","服装鞋帽","重货","6 Months Texas Summer Savings Product",13.4,10.7,10.3,"是",11,6,"老客户","否","散客","https://www.summerenergy.com/PDF/EFL6MPTCSUMRES4M9ALL080918.pdf"
"639","6168","服装鞋帽","重货","3 Months Texas Summer Savings Product",13,10.3,10,"是",11,3,"老客户","否","散客","https://www.summerenergy.com/PDF/EFL3MPTCSUMRES4M9ALL080918.pdf"
"640","5447","服装鞋帽","同城配","TXU Energy FlexPower",15.4,14.4,13.9,"否",6,0,"新客户","否","散客","https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TNXPREPA0000AH&lang=es&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTNC"
"641","5443","服装鞋帽","同城配","TXU Energy FlexPower",15.4,14.4,13.9,"否",6,0,"新客户","否","散客","https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TNXPREPA0000AH&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTNC"
"642","5098","服装鞋帽","时效","Fast Fixed 4",15.9,14.4,13.6,"是",14,4,"老客户","否","散客","http://www.bounceenergy.com/efls/fastfixed4-071018.pdf"
"643","4859","服装鞋帽","特惠","Wise Buy 12",14.5,11.5,11,"是",11,12,"老客户","否","散客","https://www.pennywisepower.com/files/09017518816576fc.pdf"
"644","4563","服装鞋帽","国际","Entrust 12",12.2,10.7,9.9,"是",17,12,"老客户","否","散客","https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN5F12D0DG003_20180809_eng_80b63a39-23bc-4049-b605-775602700bbb.pdf"
"645","4564","服装鞋帽","国际","Texas Refresh 12",12.3,10.7,10,"是",100,12,"老客户","否","散客","https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXY5F12D0DG003_20180809_eng_e33c1bb2-f87c-4734-bcf4-53bdedaea6c4.pdf"
"646","4317","服装鞋帽","其他","Operation USO AutoPay E-Plan ",14.1,11,10.5,"是",16,24,"老客户","否","散客","https://www.yeptexas.com/Docs/yep-efl-fixed-24-nongreen-uso.pdf"
"647","4171","服装鞋帽","重货","AutoPay E-Plan Healthy Heart of Texas ",14,10.9,10.4,"是",100,36,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-36-green-spanish.pdf"
"648","4134","服装鞋帽","其他","Operation USO AutoPay E-plan",14.1,11,10.5,"是",16,12,"老客户","否","散客","https://www.yeptexas.com/Docs/yep-efl-fixed-12-nongreen-uso.pdf"
"649","4152","服装鞋帽","重货","Spirit Of Texas AutoPay E-Plan",13.5,10.5,9.9,"是",16,36,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-36-nongreen.pdf"
"650","3642","服装鞋帽","重货","AutoPay E-Plan Spirit of Texas",17,13.9,13.4,"否",16,1,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-flex-pr-nongreen-spanish.pdf"
"651","3643","服装鞋帽","重货","AutoPay E-Plan Healthy Heart of Texas",14.2,11.1,10.6,"是",100,12,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-12-green-spanish.pdf"
"652","3648","服装鞋帽","重货","Spirit of Texas AutoPay E-Plan",13.8,10.7,10.2,"是",16,12,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen-spanish.pdf"
"653","3631","服装鞋帽","重货","3 Month Spirit Of Texas Fixed Rate AutoPay E-Plan",17.2,14.1,13.6,"是",16,3,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-3-nongreen-spanish.pdf"
"654","3626","服装鞋帽","重货","6 Month Spirit Of Texas Fixed Rate AutoPay E-Plan",14.8,11.7,11.2,"是",16,6,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-6-nongreen-spanish.pdf"
"655","3611","服装鞋帽","重货","AutoPay E-Plan Spirit of Texas",13.8,10.7,10.2,"是",16,24,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-24-nongreen-spanish.pdf"
"656","3275","服装鞋帽","其他","Autopay E-Plan ",13.6,10.5,10,"是",16,36,"老客户","否","散客","http://www.yeptexas.com/Docs/yep-efl-fixed-36-nongreen.pdf"
"657","3561","服装鞋帽","重货","AutoPay E-Plan de Sembrar-Un-Arbol",14,10.9,10.4,"是",16,12,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen-tree-spanish.pdf"
"658","3599","服装鞋帽","重货","AutoPay E-Plan Healthy Heart of Texas",14.4,11.3,10.8,"是",100,24,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-24-green-spanish.pdf"
"659","3435","服装鞋帽","冷运","Fixed rate for 12 billing cycle(s).",12.4,11,11,"是",15,12,"老客户","否","散客","https://enrollment.igsenergy.com/api/Web/FactsLabel/ETTNC12FIXED09PP00RPROMO1"
"660","3436","服装鞋帽","冷运","Fixed rate for 12 billing cycle(s).",12.6,11.2,11.2,"是",100,12,"老客户","否","散客","https://enrollment.igsenergy.com/api/Web/FactsLabel/ETTNC12FIXED09PP00RGGTXPROMO1"
"661","3203","服装鞋帽","同城配","Eagle 36",10.9,10.4,10.1,"是",6,36,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-36mo-SPAN.pdf"
"662","3198","服装鞋帽","同城配","Eagle 36",10.9,10.4,10.1,"是",6,36,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-36mo.pdf"
"663","3144","服装鞋帽","同城配","Green Eagle 12",11.5,11,10.7,"是",100,12,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-G-12mo-SPAN.pdf"
"664","3138","服装鞋帽","同城配","Green Eagle 36",11.3,10.8,10.5,"是",100,36,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-G-36mo-SPAN.pdf"
"665","3127","服装鞋帽","同城配","Eagle 12",13.3,10.8,10.5,"是",6,12,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-12mo-SPAN.pdf"
"666","3082","服装鞋帽","同城配","Green Eagle 12",11.5,11,10.7,"是",100,12,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-G-12mo.pdf"
"667","3070","服装鞋帽","同城配","Green Eagle 36",11.3,10.8,10.5,"是",100,36,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-G-36mo.pdf"
"668","2612","服装鞋帽","同城配","TXU Energy MarketEdge ",15.6,14,13.2,"否",6,0,"老客户","否","散客","http://www.txu.com/~/media/Files/Marketing/Residential/EFLs/TNXMKTEDNS00AH_SPA.pdf"
"669","3008","服装鞋帽","同城配","Eagle 12",11.3,10.8,10.5,"是",6,12,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-12mo.pdf"
"670","2495","服装鞋帽","重货","Plant-A-Tree AutoPay E-Plan",14,10.9,10.4,"是",16,12,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen-tree.pdf"
"671","2028","服装鞋帽","其他","Green Earth Autopay E-plan ",14.5,11.4,10.9,"是",100,24,"老客户","否","散客","http://www.yeptexas.com/Docs/yep-efl-fixed-24-green.pdf"
"672","2002","服装鞋帽","重货","Healthy Heart Of Texas AutoPay E-Plan",14.4,11.3,10.8,"是",100,24,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-24-green.pdf"
"673","2023","服装鞋帽","其他","Autopay E-Plan ",13.9,10.8,10.3,"是",16,24,"老客户","否","散客","http://www.yeptexas.com/Docs/yep-efl-fixed-24-nongreen.pdf"
"674","1990","服装鞋帽","重货","Spirit Of Texas AutoPay E-Plan",13.8,10.7,10.2,"是",16,24,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-24-nongreen.pdf"
"675","1957","服装鞋帽","时效","Terrific 12",13.6,12.1,11.3,"是",14,12,"老客户","否","散客","http://www.bounceenergy.com/efls/terrific12-071018.pdf"
"676","1952","服装鞋帽","时效","Tremendous 24",13.3,11.8,11,"是",14,24,"老客户","否","散客","http://www.bounceenergy.com/efls/tremendous24-071018.pdf"
"677","1884","服装鞋帽","重货","3 Month Spirit Of Texas Fixed Rate AutoPay E-Plan",17.2,14.1,13.6,"是",16,3,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-3-nongreen.pdf"
"678","1889","服装鞋帽","重货","6 Month Spirit Of Texas Fixed Rate AutoPay E-Plan",14.8,11.7,11.2,"是",16,6,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-6-nongreen.pdf"
"679","1820","服装鞋帽","重货","Texas Independence AutoPay E-Plan",17,13.9,13.4,"否",16,1,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-flex-pr-nongreen.pdf"
"680","1527","服装鞋帽","时效","Fantastic Fixed 6",14.1,12.6,11.8,"是",14,6,"老客户","否","散客","http://www.bounceenergy.com/efls/fantasticfixed6-071018.pdf"
"681","1419","服装鞋帽","电商","Affordable Saver 12",12.2,10.4,10.4,"是",12,12,"老客户","否","散客","https://enroll.apge.com/Offer/getDocument?documentId=10&offerCode=AEN_RES_12_FIXED_WEB"
"682","1312","服装鞋帽","重货","Healthy Heart Of Texas AutoPay E-Plan",14.2,11.1,10.6,"是",100,12,"老客户","否","散客","http://www.southwestpl.com/Docs/swpl-efl-fixed-12-green.pdf"
"683","1307","服装鞋帽","重货","Spirit Of Texas AutoPay E-Plan",13.8,10.7,10.2,"是",16,12,"老客户","否","散客","http://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen.pdf"
"684","972","服装鞋帽","其他","6 Month Fixed Rate Autopay E-Plan",14.9,11.8,11.3,"是",16,6,"老客户","否","散客","http://www.yeptexas.com/Docs/yep-efl-fixed-6-nongreen.pdf"
"685","964","服装鞋帽","其他","3 Month Fixed Rate AutoPay E-Plan",17.3,14.2,13.7,"是",16,3,"老客户","否","散客","http://www.yeptexas.com/Docs/yep-efl-fixed-3-nongreen.pdf"
"686","620","服装鞋帽","特惠","Residential Electricity... Plain and simple.",15.4,13.6,12.7,"否",8,0,"老客户","否","散客","https://neccoopenergy.com/residential-service/residential-prices/aep-residential-prices-fact-sheet/"
"687","132","服装鞋帽","重货","AutoPay E-Plan",15.2,12.1,11.6,"是",16,12,"老客户","否","散客","http://www.texpoenergy.com/Docs/texpo-efl-fixed-12-nongreen.pdf"
"688","133","服装鞋帽","重货","Clear Blue Skies AutoPay E-Plan",15.7,12.6,12.1,"是",100,12,"老客户","否","散客","http://www.texpoenergy.com/Docs/texpo-efl-fixed-12-green.pdf"
"689","135","服装鞋帽","同城配","TXU Energy MarketEdge ",15.6,14,13.2,"否",6,0,"老客户","否","散客","http://www.txu.com/~/media/Files/Marketing/Residential/EFLs/TNXMKTEDNS00AH_ENG.pdf"
"690","140","服装鞋帽","其他","Autopay E-Plan ",13.9,10.8,10.3,"是",16,12,"老客户","否","散客","http://www.yeptexas.com/Docs/yep-efl-fixed-12-nongreen.pdf"
"691","142","服装鞋帽","其他","AutoPay E-Plan",17.1,14,13.5,"否",16,1,"老客户","否","散客","https://www.yeptexas.com/Docs/yep-efl-flex-pr-nongreen.pdf"
"692","143","服装鞋帽","其他","Green Earth Autopay E-plan ",14.3,11.2,10.7,"是",100,12,"老客户","否","散客","http://www.yeptexas.com/Docs/yep-efl-fixed-12-green.pdf"
"693","243","CENTERPOINT ENERGY HOUSTON ELECTRIC LLC","重货","AutoPay E-Plan",14.2,11.6,11.3,"是",16,12,"老客户","否","散客","http://www.texpoenergy.com/Docs/texpo-efl-fixed-12-nongreen.pdf"
"694","244","CENTERPOINT ENERGY HOUSTON ELECTRIC LLC","重货","Clear Blue Skies AutoPay E-Plan",14.7,12.1,11.8,"是",100,12,"老客户","否","散客","http://www.texpoenergy.com/Docs/texpo-efl-fixed-12-green.pdf"
